,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0
106,A,5.0,D,O,0.0,c,B,1.0,c0,2.320307316307896,18.093933163325016,5.59398144926478,1460.9133333333334,60.0,178.5837537963068,2.1245279558609926,304.17407326933767,0.0,0.0,50.0,2.0,0
107,A,11.0,E,U,1.0,e,A,1.0,c0,5.57316898229155,-4.1104206330315955,8.828134949772238,1133.4133333333334,130.0,255.5768640097045,4.547686010824481,617.3125720407332,0.0,0.0,68.0,1.0,0
108,A,11.0,D,Y,0.0,c,A,0.0,c0,2.5753257825576155,39.94723383274223,4.9665487427940045,2662.9933333333333,130.0,255.91139786676328,2.0476889393011173,406.48264507893236,0.0,0.0,80.0,4.0,0
109,B,10.0,C,T,0.0,a,A,1.0,c0,3.2920632714508717,4.130590382377637,5.564189745543524,1391.9,100.0,231.498390704779,1.272524649550989,19.57375569761461,75.0,0.0,80.0,3.0,1
110,A,9.1,B,R,0.0,b,A,0.0,c0,3.215138766352781,4.825706703750093,6.340533892146367,943.2666666666668,110.0,241.0219104090752,2.617612920605509,304.14910572557187,0.0,0.0,100.0,6.0,0
111,A,10.0,D,Q,0.0,a,A,0.0,c0,2.406495560799009,24.772498144675698,4.561181234828247,2226.0666666666666,100.0,231.66588508455501,1.9832555947040904,28.246068842855863,0.0,0.0,86.0,3.0,0
112,A,10.0,D,Y,0.0,a,A,1.0,c0,2.74005678707146,24.73911293113276,5.234905556221486,845.5266666666665,100.0,229.8923327016621,3.9851870111935948,790.4832267036631,0.0,0.0,80.0,4.0,0
113,E,4.0,E,Y,1.0,f,A,0.0,c27,3.8903365098260627,58.07591611854848,6.414897205717695,1998.753333333333,50.0,160.68221301243062,0.6367196870137148,79.62888039534258,0.0,0.0,140.0,7.0,0
114,A,11.0,E,R,1.0,e,A,1.0,c0,3.44432238911142,-0.8565716299584558,5.522491386350716,1886.34,130.0,256.0926776837913,3.6056896742548967,86.36134557872231,0.0,0.0,140.0,8.0,0
115,B,10.0,D,R,0.0,c,A,1.0,c0,2.232783690325877,30.478251631766074,4.0758634619787815,263.18666666666667,100.0,230.29498828885056,1.8116828736395827,126.0662291614954,0.0,0.0,108.0,5.0,0
116,A,11.0,D,Y,0.0,a,A,1.0,c0,2.5753257825576155,16.650252724077973,6.014326675418652,2925.5933333333332,130.0,257.7289298279642,4.314091744629345,329.8358003254883,0.0,0.0,80.0,3.0,0
117,A,5.0,D,O,0.0,a,A,1.0,c29,1.960713731797774,-0.06995631792666758,5.060399303763575,1773.813333333333,60.0,179.944834815083,0.9033576702642518,24.77723180130971,0.0,0.0,40.0,0.0,0
118,A,8.0,C,W,0.0,b,A,1.0,c2,4.036000068055038,30.23929512767447,6.542722128865694,1627.813333333333,90.0,221.1498334405829,2.4846694598366232,319.33451287780923,0.0,0.0,80.0,4.0,0
119,A,8.0,D,Y,0.0,a,A,0.0,c0,2.98076225293322,71.3811427412627,6.438723159129716,788.2,90.0,220.65945252602504,1.5245743922783483,454.04048105189275,0.0,0.0,70.0,4.0,0
120,D,10.0,A,V,0.0,a,A,0.0,c0,5.505225343152748,4.346760075387857,8.765146651569449,1136.14,100.0,231.83494351845417,2.278147630414213,292.5514614925977,0.0,0.0,16.0,2.0,0
121,A,11.0,E,R,1.0,e,A,1.0,c0,2.9012967706912964,28.584001705168337,5.3305657593855305,1439.7,130.0,256.8589187327525,3.0399135877061205,360.4302513533744,22.0,0.0,80.0,2.0,1
122,A,8.0,D,V,0.0,c,A,1.0,c0,2.406495560799009,54.4677382327377,5.003893276773675,944.6533333333333,90.0,219.31707616782208,1.8582283656584184,230.56016890450542,0.0,0.0,80.0,4.0,0
123,E,9.1,B,T,0.0,a,A,1.0,c0,3.1376395320500863,7.556451344201854,5.521208284705494,892.4066666666665,110.0,239.38345099650837,12.999778781012326,345.3817602730815,0.0,0.0,80.0,4.0,0
125,A,8.0,D,U,0.0,a,A,0.0,c0,3.816987914184669,15.4574036548025,6.629631670993361,1088.9466666666667,90.0,218.81477952351617,2.3997070819147828,0.8553620064787708,0.0,0.0,140.0,8.0,0
126,A,11.0,E,Y,1.0,e,A,1.0,c0,3.5197170226212404,32.1859224894432,5.726859371792448,929.0933333333335,130.0,258.35656948410144,5.3094197755150745,82.39812189109249,0.0,0.0,100.0,5.0,1
127,A,9.0,D,U,0.0,a,A,0.0,c0,2.74005678707146,30.960182762466737,5.735416265748628,1261.46,120.0,250.69274622611283,4.137427674398928,190.1444686379657,0.0,0.0,16.0,1.0,0
128,C,12.0,D,R,0.0,a,A,0.0,c0,4.536484120840085,28.332735783182248,6.799675350077709,744.6666666666665,140.0,265.1657318158729,3.7444662089494467,326.2064958181345,0.0,0.0,100.0,5.0,0
129,A,8.0,D,U,0.0,b,B,0.0,c0,2.4914671858406763,27.899954953574344,4.596296962012037,1302.74,90.0,220.0389074205451,2.6642622927096653,138.89018617621736,0.0,0.0,80.0,4.0,0
130,A,10.0,E,V,1.0,e,A,1.0,c0,4.10834684348133,40.47639615359915,7.935472408381674,1278.76,100.0,231.55094072356067,2.5918774099003223,204.936891446844,0.0,0.0,90.0,3.0,0
131,A,8.0,A,V,0.0,c,A,0.0,c0,4.67720218740084,48.40616728952276,6.735369314299315,1347.14,90.0,219.0839216083497,0.723488341741652,507.2851843882328,0.0,0.0,80.0,3.0,0
133,A,6.0,D,Y,0.0,c,A,0.0,c0,3.368447367421272,45.95079819940348,4.721354939715327,715.18,70.0,195.88852363423308,1.7560862232357688,553.8053671522458,0.0,0.0,40.0,1.0,0
134,A,10.0,D,R,0.0,c,A,0.0,c0,2.232783690325877,20.553161993575703,4.930486120134223,1406.993333333333,100.0,230.4292399159032,2.116416402500572,234.49449478582488,0.0,0.0,60.0,3.0,0
135,E,8.1,E,T,1.0,e,C,1.0,c6,5.025324275196795,31.413030500733854,8.755000676225523,1201.4066666666668,150.0,270.23902546224645,3.1126002221504567,53.21758398242353,0.0,0.0,100.0,4.0,1
136,A,8.0,E,V,1.0,e,A,1.0,c0,3.0595278715659733,11.883379877417774,4.9444961506209815,706.0533333333333,90.0,220.82998896637744,3.1570036432719704,236.34599311506287,0.0,0.0,80.0,4.0,0
137,A,8.0,B,W,0.0,a,A,1.0,c0,4.252141997934761,41.737863618440535,6.554716582543857,1237.82,90.0,221.5178356593256,1.6006634883395816,302.78031657363056,0.0,0.0,80.0,18.303328937892843,0
